subject,theta_centroid,alpha_centroid,theta_peak,alpha_peak,PCI,convergence,theta_frontal,dataset
sub-010267,7.013869894765295,8.953315559712014,7.9345703125,8.4228515625,0.6233250937607083,0.5156112481385101,5.631779680968063,LEMON
sub-010268,6.116519890485071,9.683325171180368,7.9345703125,9.27734375,1.3432987676307362,0.28036293582167865,5.516321946053044,LEMON
sub-010269,6.134586231715675,10.441356821174503,7.9345703125,11.1083984375,0.7713239648853982,0.2321925394511566,5.646270831578821,LEMON
sub-010270,6.068331102266667,10.799114763898372,6.8359375,11.3525390625,0.20298343548426598,0.21138146901756397,5.8318829114549935,LEMON
sub-010271,5.728262986257642,10.145687054710931,4.0283203125,9.765625,0.2616634362741263,0.22637627370698382,5.451415572169636,LEMON
sub-010272,5.743431828202178,9.621904713446089,4.0283203125,8.30078125,0.9935454811081749,0.2578334384661069,5.291580599092159,LEMON
sub-010273,5.95454945955422,9.512675678790036,7.9345703125,8.7890625,1.4279634752282317,0.28104680339720256,5.285886432839765,LEMON
sub-010274,6.055936653759774,10.023814465003008,7.9345703125,10.009765625,1.1763885875616114,0.25202388973935547,5.382279087255443,LEMON
sub-010275,5.501581974838234,10.081196874965409,4.150390625,8.7890625,-0.16118789481371984,0.21835897161838438,5.218093214243466,LEMON
sub-010276,5.423849726946675,10.309072893927034,4.0283203125,9.3994140625,-0.6522974602834238,0.20469893919260138,5.215651862831468,LEMON
sub-010277,5.96382831293788,10.103074681009744,6.591796875,8.056640625,0.8355850035603354,0.24158987194227297,5.649227029201377,LEMON
sub-010278,6.6913370003929895,9.419967652779484,7.9345703125,8.7890625,0.8025224085059994,0.36648419203434063,5.876215365214098,LEMON
sub-010279,5.354247335929187,10.345409632763367,4.39453125,8.7890625,-0.903389171856424,0.2003541340729964,5.39753324089883,LEMON
sub-010280,5.818204511413905,10.450489364510196,4.0283203125,10.3759765625,0.08835225231998592,0.2158761889031035,5.343222183210243,LEMON
sub-010282,5.493436164185864,10.011362156960468,4.0283203125,9.521484375,-0.09220528573089348,0.22134050039758793,5.27144054356752,LEMON
sub-010283,5.546449715128136,9.828490068515004,4.0283203125,9.1552734375,0.2555850057651181,0.2335335301567284,5.280991364284135,LEMON
sub-010284,6.049789249327101,10.088350946223592,7.9345703125,8.30078125,1.0620262818038,0.24761290653760937,5.431791852180884,LEMON
sub-010286,6.009940202567535,9.5527784786216,7.9345703125,9.6435546875,1.3791763782699151,0.2822595676350708,5.466438514005026,LEMON
sub-010287,6.516538208750216,9.49851225683872,7.9345703125,8.056640625,0.9028638519574995,0.3353483242555436,5.362280934969031,LEMON
sub-010288,6.44344593368905,9.958237003970348,7.9345703125,10.25390625,1.1674051474980691,0.2845119325741224,5.628682307513935,LEMON
sub-010289,6.973307922350988,8.91959034237299,7.9345703125,8.1787109375,0.6260571310931311,0.5138000475741312,5.8101879084354575,LEMON
